,id,timestamp,prob,type
0,FR.CIEL.00,2024-03-02 06:28:34.500000,0.11846143,p
1,FR.CIEL.00,2024-03-02 06:29:03.540000,0.48332328,p
2,FR.CIEL.00,2024-03-02 06:29:08.280000,0.2493432,s
3,FR.CIEL.00,2024-03-02 06:29:55.380000,0.21892717,p
4,FR.CIEL.00,2024-03-02 06:30:22.480000,0.17860398,s
5,FR.CIEL.00,2024-03-02 06:30:22.450000,0.43451184,p
6,FR.CIEL.00,2024-03-02 06:30:27.940000,0.52268356,s
7,FR.CIEL.00,2024-03-02 06:30:55.200000,0.65446717,p
8,FR.CIEL.00,2024-03-02 06:31:00.270000,0.4160823,p
9,FR.CIEL.00,2024-03-02 06:31:00.460000,0.32066956,s
10,FR.CIEL.00,2024-03-02 06:31:04.180000,0.15455262,s
11,FR.CIEL.00,2024-03-02 06:31:17.280000,0.71547973,p
12,FR.CIEL.00,2024-03-02 06:31:22.910000,0.28798723,s
13,FR.CIEL.00,2024-03-02 06:31:24.400000,0.19793697,s
14,FR.CIEL.00,2024-03-02 06:31:51.250000,0.14172284,p
15,FR.CIEL.00,2024-03-02 06:31:53.100000,0.107478485,p
16,FR.SZBH.02,2024-03-02 06:28:48.260000,0.22402757,p
17,FR.SZBH.02,2024-03-02 06:28:51.120000,0.13056718,p
18,FR.SZBH.02,2024-03-02 06:28:52.590000,0.19186392,s
19,FR.SZBH.02,2024-03-02 06:29:09.630000,0.18060987,p
20,FR.SZBH.02,2024-03-02 06:29:24.090000,0.113309175,p
21,FR.SZBH.02,2024-03-02 06:29:43.890000,0.12412407,s
22,FR.SZBH.02,2024-03-02 06:30:00.110000,0.10880966,p
23,FR.SZBH.02,2024-03-02 06:30:08.760000,0.17694458,p
24,FR.SZBH.02,2024-03-02 06:30:10.730000,0.119263485,s
25,FR.SZBH.02,2024-03-02 06:30:16.510000,0.8153341,p
26,FR.SZBH.02,2024-03-02 06:30:17.820000,0.912746,s
27,FR.SZBH.02,2024-03-02 06:30:22.570000,0.69237,p
28,FR.SZBH.02,2024-03-02 06:30:24.060000,0.84519756,s
29,FR.SZBH.02,2024-03-02 06:30:31.330000,0.38018063,p
30,FR.SZBH.02,2024-03-02 06:30:32.650000,0.7766229,s
31,FR.SZBH.02,2024-03-02 06:30:36.390000,0.1626945,p
32,FR.SZBH.02,2024-03-02 06:30:37.540000,0.113698244,s
33,FR.SZBH.02,2024-03-02 06:30:37.990000,0.11481223,s
34,FR.SZBH.02,2024-03-02 06:30:39.340000,0.8099989,p
35,FR.SZBH.02,2024-03-02 06:30:40.630000,0.9141599,s
36,FR.SZBH.02,2024-03-02 06:30:49.210000,0.91745,p
37,FR.SZBH.02,2024-03-02 06:30:49.930000,0.14485599,s
38,FR.SZBH.02,2024-03-02 06:30:50.550000,0.85697395,s
39,FR.SZBH.02,2024-03-02 06:30:53.370000,0.11913226,p
40,FR.SZBH.02,2024-03-02 06:30:54.370000,0.7729736,p
41,FR.SZBH.02,2024-03-02 06:30:55.010000,0.106505364,s
42,FR.SZBH.02,2024-03-02 06:30:55.640000,0.88768876,s
43,FR.SZBH.02,2024-03-02 06:31:00.000000,0.54813856,p
44,FR.SZBH.02,2024-03-02 06:31:01.740000,0.7467736,s
45,FR.SZBH.02,2024-03-02 06:31:03.550000,0.4201032,p
46,FR.SZBH.02,2024-03-02 06:31:04.980000,0.35623473,s
47,FR.SZBH.02,2024-03-02 06:31:11.290000,0.85253745,p
